Rk,Player,Nation,Pos,Team,Comp,Age,90s,Min,Ht.,Wt.,Ast,Blocks,Carries,Clr,Cmp%,CS,CS%,Dis,Err,G+A,G-PK,GA,Gls,Int,KP,Mis,npxG,PKA,PKsv,PPA,PrgC,PrgP,PrgR,Recov,Save%,Saves,Tkl,Tkl+Int,TklW,Touches,xAG,xG
1056,Kristjan Asllani,ALB,MF,Torino,Serie A,23,6.8,608,1.79,68.0,0,1,226,4,80.6,,,2,2,0,0,,0,7,7,4,0.3,,,4,1,30,4,32,,,9,16,5,401,0.5,0.3
1057,Fisnik Asllani,KVX,FWMF,Hoffenheim,Bundesliga,22,7.4,670,1.8,81.0,2,5,137,8,64.0,,,13,0,7,5,,5,3,12,15,3.3,,,10,6,18,49,24,,,5,8,1,268,1.4,3.3
1058,Raúl Asencio,ESP,DF,Real Madrid,La Liga,22,4.5,406,ND,ND,0,7,176,16,95.2,,,0,0,0,0,,0,1,1,2,0.3,,,2,3,19,3,11,,,5,6,4,317,0.0,0.3
1059,Arthur,BRA,DF,Leverkusen,Bundesliga,22,4.5,405,ND,ND,1,4,109,10,79.0,,,7,0,1,0,,0,2,3,11,0.6,,,4,5,15,44,21,,,10,12,6,245,0.5,0.6
1060,Kervin Arriaga,HON,MF,Levante,La Liga,27,6.2,562,1.91,83.0,0,9,166,21,82.3,,,6,2,1,1,,1,6,2,2,0.1,,,1,6,25,3,37,,,17,23,11,341,0.1,0.1
1061,Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,31,9.0,810,1.83,74.0,2,10,305,33,81.4,,,4,1,3,1,,1,13,18,5,0.2,,,5,0,27,6,21,,,10,23,8,554,2.0,0.2
1062,Hákon Arnar Haraldsson,ISL,MFFW,Lille,Ligue 1,22,10.1,908,1.8,71.0,1,7,357,3,80.3,,,7,0,5,4,,4,1,23,17,3.8,,,17,31,55,64,51,,,11,12,5,582,1.8,3.8
1063,Jhon Arias,COL,FW,Wolves,Premier League,27,6.1,547,1.68,70.0,0,11,146,8,83.9,,,9,0,0,0,,0,5,9,13,1.0,,,5,9,19,30,26,,,24,29,14,314,0.5,1.0
1064,Jesús Areso,ESP,DF,Athletic Club,La Liga,26,8.2,742,ND,ND,1,15,200,26,73.0,,,3,1,1,0,,0,5,8,16,0.0,,,9,23,20,52,23,,,12,17,10,497,0.6,0.0
1065,Carlens Arcus,HAI,DF,Angers,Ligue 1,29,11.7,1057,1.8,75.0,0,15,342,33,87.8,,,4,1,0,0,,0,14,3,6,0.1,,,3,12,36,12,54,,,21,35,18,715,0.2,0.1
1066,Ronald Araújo,URU,DF,Barcelona,La Liga,26,6.7,604,1.88,79.0,0,7,288,25,92.6,,,0,0,2,2,,2,8,1,3,0.4,,,0,10,27,4,27,,,10,18,5,496,0.0,0.4
1067,Jon Aramburu,VEN,DF,Real Sociedad,La Liga,23,10.0,902,1.75,73.0,0,7,304,32,74.6,,,4,1,0,0,,0,10,5,6,0.9,,,5,8,48,22,39,,,32,42,20,659,0.2,0.9
1068,Mauro Arambarri,URU,MF,Getafe,La Liga,29,11.8,1059,1.74,71.0,0,16,180,15,75.5,,,15,0,1,1,,1,5,3,15,1.4,,,1,7,35,21,56,,,26,31,18,428,0.1,1.4
1069,Antony,BRA,FW,Betis,La Liga,25,7.5,678,1.72,65.0,1,7,335,7,78.3,,,8,0,5,4,,4,6,14,4,2.7,,,11,46,38,81,41,,,10,16,8,498,1.2,2.7
1070,Waldemar Anton,GER,DF,Dortmund,Bundesliga,29,10.0,900,1.82,75.0,0,12,615,52,90.5,,,1,1,1,1,,1,8,2,8,0.3,,,6,11,61,4,46,,,16,24,8,967,0.0,0.3
1071,Jaidon Anthony,ENG,MFFW,Burnley,Premier League,25,9.8,886,1.83,72.0,1,14,219,10,69.5,,,18,2,5,4,,4,8,11,36,2.2,,,8,22,14,45,47,,,14,22,7,420,0.5,2.2
1072,Ilyas Ansah,GER,MFFW,Union Berlin,Bundesliga,20,7.5,674,ND,ND,0,3,142,5,78.6,,,24,0,4,4,,4,2,5,45,1.5,,,5,17,15,31,26,,,4,6,3,237,0.4,1.5
1073,Samuele Angori,ITA,DF,Pisa,Serie A,21,5.1,457,ND,ND,1,4,94,17,60.1,,,4,0,1,0,,0,4,6,4,0.0,,,2,1,6,16,17,,,14,18,8,214,1.3,0.0
1074,Robert Andrich,GER,MFDF,Leverkusen,Bundesliga,30,6.7,599,1.85,78.0,0,4,227,12,87.9,,,3,0,0,0,,0,7,4,6,0.0,,,4,10,19,10,26,,,14,21,11,444,0.2,0.0
1075,Benjamin André,FRA,MF,Lille,Ligue 1,34,9.9,889,1.77,68.0,1,14,370,17,83.1,,,12,0,2,1,,1,11,8,8,1.4,,,11,11,73,31,51,,,17,28,10,632,0.8,1.4
1076,André,BRA,MF,Wolves,Premier League,24,7.8,705,1.76,77.0,0,11,235,17,90.5,,,8,3,0,0,,0,8,1,8,0.0,,,2,7,27,3,55,,,18,26,8,427,0.1,0.0
1077,Elliot Anderson,ENG,MF,Nott'ham Forest,Premier League,22,11.0,990,1.79,72.0,1,18,602,9,83.4,,,14,1,2,0,,1,10,15,25,0.8,,,14,15,97,30,92,,,29,39,15,976,1.7,1.6
1078,Joachim Andersen,DEN,DF,Fulham,Premier League,29,9.5,851,1.9,75.0,0,5,433,74,83.7,,,0,0,0,0,,0,9,2,6,0.5,,,4,7,35,4,39,,,15,24,11,752,0.7,0.5
1079,Sofyan Amrabat,MAR,MF,Betis,La Liga,28,6.2,558,1.73,70.0,0,7,293,6,90.0,,,2,0,0,0,,0,6,4,6,0.1,,,2,8,40,2,45,,,10,16,5,451,0.2,0.1
1080,Ethan Ampadu,WAL,MF,Leeds United,Premier League,24,8.7,787,1.75,70.0,0,7,305,23,83.0,,,1,1,0,0,,0,11,2,8,0.4,,,4,12,32,9,41,,,23,34,12,623,0.1,0.4
1081,Mohamed Amoura,ALG,FW,Wolfsburg,Bundesliga,25,6.9,624,ND,ND,1,6,134,5,68.1,,,7,1,5,3,,4,4,13,21,2.8,,,5,18,9,42,23,,,17,21,9,252,1.8,3.6
1082,Nadiem Amiri,GER,MF,Mainz 05,Bundesliga,28,9.5,854,1.78,72.0,1,12,390,8,79.1,,,14,0,4,0,,3,10,15,14,0.7,,,31,18,88,20,44,,,19,29,12,704,1.2,3.1
1083,Michael Amir Murillo,PAN,DF,Marseille,Ligue 1,29,8.7,786,1.83,80.0,0,10,335,19,83.0,,,7,0,2,2,,2,4,10,13,0.8,,,10,17,33,65,38,,,17,21,11,538,0.7,0.8
1084,Kelvin Amian,FRA,DF,Nantes,Ligue 1,27,12.0,1080,1.8,74.0,1,17,314,57,78.8,,,8,0,1,0,,0,3,4,7,0.1,,,4,14,50,15,39,,,16,19,8,664,0.6,0.1
1085,Julián Álvarez,ARG,FW,Atlético Madrid,La Liga,25,10.4,938,1.73,70.0,2,5,273,3,79.5,,,21,0,9,5,,7,2,26,22,3.6,,,24,29,50,67,24,,,6,8,3,480,3.5,6.0
1086,Carlos Álvarez,ESP,MF,Levante,La Liga,21,8.4,760,1.68,64.0,1,4,229,2,77.9,,,15,1,3,2,,2,5,15,24,0.9,,,14,19,48,23,39,,,14,19,5,374,2.3,0.9
1087,Sergi Altimira,ESP,MF,Betis,La Liga,23,5.0,450,ND,ND,1,5,181,8,92.2,,,2,0,1,0,,0,11,4,4,0.0,,,0,7,12,2,29,,,22,33,11,336,0.2,0.0
1088,Marcos Alonso,ESP,DF,Celta Vigo,La Liga,34,7.9,713,1.88,85.0,0,5,465,56,89.4,,,4,2,0,0,,0,9,4,6,0.2,,,5,27,58,10,42,,,15,24,10,746,0.4,0.2
1089,Carles Aleñá,ESP,MFFW,Alavés,La Liga,27,8.2,739,1.8,74.0,3,7,265,15,80.1,,,15,1,3,0,,0,3,12,17,0.9,,,7,4,27,31,34,,,15,18,11,489,1.0,0.9
1090,Alexandre Alemão,BRA,FW,Rayo Vallecano,La Liga,27,5.7,513,1.82,77.0,0,3,61,5,61.4,,,3,0,1,1,,1,0,3,24,1.6,,,2,0,6,24,7,,,4,4,1,146,0.1,1.6
1091,Omar Alderete,PAR,DF,Sunderland,Premier League,28,7.4,668,1.88,77.0,1,7,287,44,84.3,,,3,0,2,1,,1,10,2,2,0.6,,,3,10,31,2,24,,,12,22,4,456,0.1,0.6
1092,Jean-Daniel Akpa-Akpro,CIV,MF,Hellas Verona,Serie A,32,5.0,449,1.8,68.0,0,11,55,9,70.4,,,1,0,0,0,,0,12,3,10,0.2,,,0,3,8,3,25,,,14,26,8,179,0.1,0.2
1093,Clément Akpa,CIV,DF,Auxerre,Ligue 1,23,10.0,900,ND,ND,0,10,421,40,80.3,,,1,3,0,0,,0,8,6,5,0.1,,,5,7,35,4,32,,,15,23,6,662,0.3,0.1
1094,Maghnes Akliouche,FRA,MFFW,Monaco,Ligue 1,23,9.6,866,1.75,63.0,2,8,317,7,81.4,,,17,1,5,3,,3,7,14,28,3.3,,,16,34,53,71,56,,,15,22,10,556,2.0,3.3
1095,Ebenezer Akinsanmiro,NGA,MF,Pisa,Serie A,20,8.3,751,ND,ND,1,6,187,9,83.7,,,9,0,1,0,,0,10,7,16,0.6,,,4,18,39,21,58,,,18,28,11,333,0.8,0.6
1096,Manuel Akanji,SUI,DFMF,2 Teams,2 Comps,30,9.0,810,1.87,85.0,0,8,471,29,90.4,,,1,0,0,0,,0,7,3,4,0.3,,,5,12,45,8,41,,,15,22,8,777,0.2,0.3
1097,Ludovic Ajorque,FRA,FW,Brest,Ligue 1,31,11.9,1074,1.97,82.0,3,3,202,15,68.2,,,10,0,4,1,,1,5,14,31,3.3,,,0,10,16,52,21,,,9,14,6,397,1.1,3.3
1098,Tosin Aiyegun,BEN,MFFW,Lorient,Ligue 1,27,7.2,650,1.79,75.0,0,3,122,5,73.8,,,8,0,3,3,,3,2,8,5,2.9,,,4,11,15,30,10,,,3,5,3,183,0.8,4.1
1099,Honest Ahanor,ITA,DF,Atalanta,Serie A,17,5.2,471,ND,ND,0,13,179,17,89.7,,,2,1,0,0,,0,7,0,3,1.0,,,1,6,14,5,14,,,12,19,6,323,0.0,1.0
1100,Ruben Aguilar,FRA,DF,Lens,Ligue 1,32,10.0,897,1.72,70.0,0,18,269,19,78.4,,,1,0,0,0,,0,11,12,11,0.3,,,16,24,41,75,39,,,18,29,11,627,1.0,0.3
1101,Nayef Aguerd,MAR,DF,2 Teams,2 Comps,29,9.9,888,1.88,76.0,0,11,671,40,93.7,,,2,1,1,1,,1,10,2,6,0.4,,,0,9,49,1,49,,,14,24,10,952,0.1,0.4
1102,Marc Aguado,ESP,MF,Elche,La Liga,25,7.9,715,ND,ND,0,11,244,15,91.6,,,3,0,0,0,,0,14,1,4,0.0,,,2,2,32,8,34,,,11,25,7,494,0.0,0.0
1103,Felix Agu,NGA,DF,Werder Bremen,Bundesliga,25,5.4,483,1.8,73.0,0,9,161,18,79.8,,,3,1,0,0,,0,7,5,8,0.0,,,3,9,12,28,23,,,14,21,10,318,0.4,0.0
1104,Lucien Agoume,FRA,MF,Sevilla,La Liga,23,8.3,751,1.85,81.0,1,10,241,14,78.9,,,2,1,2,1,,1,10,8,5,0.3,,,7,13,47,12,31,,,16,26,10,448,0.8,0.3
1105,Emmanuel Agbadou,CIV,DF,Wolves,Premier League,28,6.2,561,1.92,85.0,0,11,259,37,79.4,,,2,2,0,0,,0,5,2,7,0.4,,,5,3,26,5,31,,,15,20,9,463,0.1,0.4
1106,David Affengruber,AUT,DF,Elche,La Liga,24,10.4,933,1.85,74.0,0,9,412,64,88.0,,,1,3,0,0,,0,20,3,4,0.0,,,4,6,35,2,63,,,23,43,15,780,0.2,0.0
1107,Michel Aebischer,SUI,MF,Pisa,Serie A,28,9.0,808,1.78,70.0,0,8,282,8,85.6,,,3,3,0,0,,0,9,8,9,0.1,,,6,12,46,9,47,,,27,36,19,526,0.6,0.1
1108,Karim Adeyemi,GER,MFFW,Dortmund,Bundesliga,23,5.6,503,1.8,68.0,1,3,158,1,71.4,,,10,0,3,2,,2,4,8,24,1.6,,,1,17,12,54,16,,,2,6,1,239,1.6,1.6
1109,Junior Adamu,AUT,FW,Freiburg,Bundesliga,24,4.8,434,1.82,75.0,1,3,77,5,57.3,,,3,0,2,1,,1,6,4,23,1.6,,,2,2,4,26,13,,,9,15,5,159,1.2,1.6
1110,Tyler Adams,USA,MF,Bournemouth,Premier League,26,10.6,952,1.8,70.0,1,17,340,20,86.0,,,5,0,2,1,,1,18,2,11,0.4,,,0,6,40,6,51,,,31,49,14,652,0.1,0.4
1111,Che Adams,SCO,FWMF,Torino,Serie A,29,5.4,484,1.75,76.0,0,1,106,4,73.0,,,4,0,2,2,,2,1,3,13,1.7,,,2,3,8,33,12,,,3,4,3,182,0.1,1.7
1112,Akor Adams,NGA,FW,Sevilla,La Liga,25,5.5,492,ND,ND,1,6,76,7,57.6,,,5,0,3,2,,2,0,2,14,2.5,,,2,10,6,21,11,,,4,4,2,145,0.1,2.5
1113,Francesco Acerbi,ITA,DF,Inter,Serie A,37,6.9,622,1.92,88.0,0,10,247,36,95.5,,,0,0,0,0,,0,10,2,7,0.0,,,2,6,25,0,20,,,5,15,4,520,0.1,0.0
1114,Francis Abu,GHA,MF,Toulouse,Ligue 1,24,5.8,526,1.83,72.0,0,8,145,10,82.8,,,4,2,0,0,,0,8,1,2,0.1,,,2,1,20,10,33,,,19,27,14,297,0.0,0.1
1115,Abdel Abqar,MAR,DF,Getafe,La Liga,26,5.6,507,1.88,80.0,1,7,95,27,72.7,,,1,0,1,0,,0,7,2,5,0.2,,,0,2,8,0,24,,,19,26,12,252,0.4,0.2
1116,Abner,BRA,DF,Lyon,Ligue 1,25,5.0,450,1.81,74.0,0,3,139,16,83.2,,,4,0,0,0,,0,3,3,2,0.6,,,7,9,23,14,15,,,9,12,6,267,0.2,0.6
1117,Matthis Abline,FRA,FWMF,Nantes,Ligue 1,22,9.9,888,1.76,70.0,2,3,180,6,67.3,,,18,0,4,2,,2,2,12,25,1.8,,,10,34,24,57,29,,,12,14,7,299,1.1,2.6
1118,Laurent Abergel,FRA,MF,Lorient,Ligue 1,32,11.5,1036,1.7,65.0,0,5,527,21,87.2,,,7,1,0,0,,0,8,8,7,0.5,,,7,13,66,12,54,,,20,28,12,810,0.5,0.5
1119,Himad Abdelli,ALG,MF,Angers,Ligue 1,25,6.9,618,1.79,75.0,0,14,255,6,85.6,,,8,1,1,0,,1,8,5,13,0.3,,,9,25,51,11,38,,,12,20,8,475,0.3,1.1
1120,Brenden Aaronson,USA,FWMF,Leeds United,Premier League,24,7.9,711,1.78,69.0,1,14,172,10,81.4,,,17,0,2,1,,1,7,11,23,1.7,,,9,17,21,38,36,,,20,27,10,321,1.3,1.7
1121,Michael Zetterer,GER,GK,Eint Frankfurt,Bundesliga,30,6.0,540,1.87,79.0,0,0,164,6,75.3,2.0,33.3,0,0,0,0,6.0,0,0,0,0,0.0,1.0,0.0,0,0,2,0,13,77.3,16.0,0,0,0,254,0.0,0.0
1122,Robin Zentner,GER,GK,Mainz 05,Bundesliga,30,7.7,696,1.94,96.0,0,0,175,4,54.9,0.0,0.0,0,0,0,0,10.0,0,0,0,0,0.0,0.0,0.0,2,0,1,0,18,67.7,21.0,0,0,0,323,0.0,0.0
1123,Odysseas Vlachodimos,GRE,GK,Sevilla,La Liga,31,8.0,720,1.91,77.0,0,0,173,3,71.6,2.0,25.0,0,1,0,0,12.0,0,0,0,1,0.0,3.0,0.0,0,0,0,0,10,78.6,30.0,0,0,0,303,0.0,0.0
1124,Guglielmo Vicario,ITA,GK,Tottenham,Premier League,28,11.0,990,1.94,88.0,0,1,306,6,78.0,4.0,36.4,0,2,0,0,10.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,19,77.3,34.0,0,0,0,484,0.0,0.0
1125,Bart Verbruggen,NED,GK,Brighton,Premier League,22,11.0,990,1.93,82.0,0,0,338,3,76.0,2.0,18.2,0,0,0,0,15.0,0,0,1,0,0.0,1.0,0.0,1,0,0,0,28,63.2,25.0,0,0,0,454,0.1,0.0
1126,Nikola Vasilj,BIH,GK,St. Pauli,Bundesliga,29,10.0,900,1.93,85.0,0,0,259,6,81.4,1.0,10.0,0,3,0,0,20.0,0,0,0,1,0.0,0.0,2.0,0,0,0,0,22,64.9,35.0,1,1,1,409,0.0,0.0
1127,Álvaro Vallés,ESP,GK,Betis,La Liga,28,5.0,450,ND,ND,0,0,102,4,80.0,1.0,20.0,0,1,0,0,6.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,10,66.7,13.0,0,0,0,189,0.0,0.0
1128,Wojciech Szczęsny,POL,GK,Barcelona,La Liga,35,6.0,540,1.95,87.0,0,0,138,6,82.5,0.0,0.0,0,0,0,0,11.0,0,0,0,0,0.0,1.0,1.0,0,0,0,0,17,63.0,15.0,0,0,0,238,0.0,0.0
1129,Mile Svilar,SRB,GK,Roma,Serie A,25,11.0,990,1.89,77.0,0,0,252,2,75.0,6.0,54.5,0,0,0,0,5.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,17,86.5,32.0,1,1,0,438,0.0,0.0
1130,Zion Suzuki,JPN,GK,Parma,Serie A,22,11.0,990,1.9,71.0,0,0,235,7,64.9,3.0,27.3,0,0,0,0,14.0,0,0,0,0,0.0,1.0,1.0,0,0,0,0,18,74.0,35.0,0,0,0,476,0.0,0.0
1131,David Soria,ESP,GK,Getafe,La Liga,32,12.0,1080,1.92,85.0,0,0,137,12,40.5,3.0,25.0,0,0,0,0,14.0,0,0,1,0,0.0,1.0,0.0,0,0,0,0,4,73.5,36.0,0,0,0,373,0.0,0.0
1132,Yann Sommer,SUI,GK,Inter,Serie A,36,9.0,810,1.83,77.0,0,0,218,2,86.8,4.0,44.4,0,0,0,0,11.0,0,0,0,0,0.0,2.0,0.0,0,0,1,0,12,71.9,21.0,0,0,0,359,0.0,0.0
1133,Łukasz Skorupski,POL,GK,Bologna,Serie A,34,9.1,817,1.87,84.0,0,0,265,5,79.0,3.0,30.0,0,3,0,0,8.0,0,0,0,0,0.0,2.0,0.0,0,0,0,0,17,76.9,18.0,0,0,0,440,0.0,0.0
1134,Antonio Sivera,ESP,GK,Alavés,La Liga,28,12.0,1080,1.84,81.0,0,0,150,5,57.8,2.0,16.7,0,1,0,0,11.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,6,70.3,26.0,0,0,0,352,0.0,0.0
1135,Unai Simón,ESP,GK,Athletic Club,La Liga,28,12.0,1080,1.9,85.0,0,0,225,14,66.0,3.0,25.0,0,0,0,0,13.0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,19,68.3,29.0,0,0,0,435,0.0,0.0
1136,Adrian Šemper,CRO,GK,Pisa,Serie A,27,11.0,990,1.92,75.0,0,0,224,7,64.1,4.0,36.4,0,1,0,0,14.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,7,72.5,37.0,0,0,0,384,0.0,0.0
1137,Matz Sels,BEL,GK,Nott'ham Forest,Premier League,33,11.0,990,1.88,75.0,0,0,185,6,62.8,0.0,0.0,0,2,0,0,20.0,0,0,0,0,0.0,3.0,0.0,1,0,0,0,14,70.2,37.0,0,0,0,347,0.0,0.0
1138,Marvin Schwäbe,GER,GK,Köln,Bundesliga,30,10.0,900,1.89,86.0,0,0,245,5,68.7,2.0,20.0,0,0,0,0,15.0,0,0,1,1,0.0,3.0,1.0,0,0,0,0,16,75.5,33.0,0,0,0,501,0.3,0.0
1139,Razvan Sava,ROU,GK,Udinese,Serie A,23,6.0,540,1.95,79.0,0,0,97,4,78.5,1.0,16.7,0,1,0,0,9.0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,8,57.1,12.0,0,0,0,182,0.0,0.0
1140,Robert Sánchez,ESP,GK,Chelsea,Premier League,27,10.0,904,1.97,88.0,0,0,307,4,68.6,5.0,45.5,0,0,0,0,9.0,0,1,2,0,0.0,0.0,0.0,0,0,0,0,17,65.4,17.0,0,1,0,431,0.1,0.0
1141,Brice Samba,FRA,GK,Rennes,Ligue 1,31,12.0,1080,1.86,79.0,0,0,295,6,76.6,3.0,25.0,0,0,0,0,17.0,0,0,1,0,0.0,3.0,1.0,0,0,0,0,16,69.6,28.0,1,1,0,525,0.0,0.0
1142,Mathew Ryan,AUS,GK,Levante,La Liga,33,10.0,900,1.84,73.0,0,0,190,8,69.8,2.0,20.0,0,0,0,0,18.0,0,0,0,0,0.0,1.0,0.0,0,0,0,0,6,69.1,38.0,0,0,0,364,0.0,0.0
1143,Gerónimo Rulli,ARG,GK,Marseille,Ligue 1,33,10.0,900,1.89,84.0,0,0,234,10,81.0,4.0,40.0,0,1,0,0,9.0,0,0,0,0,0.0,1.0,0.0,0,0,1,0,27,78.9,30.0,1,1,0,373,0.0,0.0
1144,Frederik Rønnow,DEN,GK,Union Berlin,Bundesliga,32,10.0,900,1.88,76.0,0,0,180,6,52.8,2.0,20.0,0,1,0,0,17.0,0,0,0,0,0.0,3.0,0.0,0,0,0,0,15,73.1,35.0,0,0,0,362,0.0,0.0
1145,Leo Román,ESP,GK,Mallorca,La Liga,25,10.0,900,1.9,81.0,0,0,176,4,66.6,1.0,10.0,0,1,0,0,15.0,0,1,0,0,0.0,2.0,1.0,0,0,1,0,14,72.3,31.0,0,1,0,367,0.0,0.0
1146,Robin Roefs,NED,GK,Sunderland,Premier League,22,11.0,990,ND,ND,0,0,287,2,62.4,4.0,36.4,0,1,0,0,10.0,0,0,2,0,0.0,0.0,1.0,1,0,0,0,28,79.2,37.0,0,0,0,469,0.2,0.0
1147,Robin Risser,FRA,GK,Lens,Ligue 1,20,12.0,1080,1.93,82.0,0,0,220,4,76.2,3.0,25.0,0,0,0,0,11.0,0,0,1,0,0.0,2.0,1.0,0,0,0,0,13,80.0,33.0,0,0,0,404,0.0,0.0
1148,Guillaume Restes,FRA,GK,Toulouse,Ligue 1,20,12.0,1080,1.86,82.0,0,0,203,8,69.2,4.0,33.3,0,3,0,0,16.0,0,1,1,0,0.0,4.0,0.0,0,0,0,0,16,70.0,24.0,0,1,0,361,0.0,0.0
1149,Álex Remiro,ESP,GK,Real Sociedad,La Liga,30,12.0,1080,1.92,80.0,0,0,301,7,76.2,1.0,8.3,0,1,0,0,17.0,0,0,3,0,0.0,1.0,0.0,0,0,2,0,28,61.0,25.0,1,1,1,463,0.1,0.0
1150,David Raya,ESP,GK,Arsenal,Premier League,29,11.0,990,1.86,81.0,0,0,236,7,69.5,7.0,63.6,0,1,0,0,5.0,0,0,1,0,0.0,0.0,0.0,1,0,4,0,23,76.2,16.0,0,0,0,396,0.1,0.0
1151,Diant Ramaj,GER,GK,Heidenheim,Bundesliga,23,10.0,900,1.89,80.0,0,0,333,11,69.5,0.0,0.0,0,1,0,0,23.0,0,0,0,0,0.0,1.0,0.0,0,0,0,0,45,62.7,36.0,0,0,0,590,0.0,0.0
1152,Ionuț Radu,ROU,GK,Celta Vigo,La Liga,28,12.0,1080,1.88,80.0,0,0,161,8,75.3,0.0,0.0,0,0,0,0,18.0,0,0,0,0,0.0,2.0,1.0,1,0,0,0,22,72.9,41.0,0,0,0,369,0.0,0.0
1153,Ivan Provedel,ITA,GK,Lazio,Serie A,31,11.0,990,1.92,84.0,0,0,243,7,70.9,6.0,54.5,0,0,0,0,9.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,14,83.0,44.0,0,0,0,430,0.0,0.0
1154,Nick Pope,ENG,GK,Newcastle Utd,Premier League,33,10.8,976,1.9,76.0,0,0,195,15,68.3,5.0,45.5,0,1,0,0,12.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,13,74.5,36.0,1,1,1,347,0.0,0.0
1155,Jordan Pickford,ENG,GK,Everton,Premier League,31,11.0,990,1.85,77.0,0,0,294,16,63.3,3.0,27.3,0,1,0,0,13.0,0,0,0,0,0.0,1.0,1.0,2,0,0,0,21,71.4,28.0,1,1,1,479,0.0,0.0
1156,Đorđe Petrović,SRB,GK,Bournemouth,Premier League,25,11.0,990,1.94,89.0,0,0,224,14,74.0,4.0,36.4,0,1,0,0,18.0,0,0,0,0,0.0,1.0,0.0,0,0,0,0,14,67.9,35.0,0,0,0,377,0.0,0.0
1157,Lucas Perri,BRA,GK,Leeds United,Premier League,27,6.0,540,1.95,95.0,0,0,168,5,61.5,2.0,33.3,0,0,0,0,12.0,0,0,0,0,0.0,2.0,0.0,0,0,0,0,7,58.3,12.0,0,0,0,251,0.0,0.0
1158,Mike Penders,BEL,GK,Strasbourg,Ligue 1,20,11.0,990,2.0,95.0,0,0,384,5,84.5,5.0,45.5,0,2,0,0,16.0,0,0,0,1,0.0,1.0,1.0,0,0,1,0,33,65.9,28.0,0,0,0,534,0.0,0.0
1159,Iñaki Peña,ESP,GK,2 Teams,La Liga,26,6.0,540,1.84,78.0,0,0,269,5,76.2,2.0,33.3,0,1,0,0,8.0,0,0,0,0,0.0,1.0,0.0,0,0,0,0,17,70.8,16.0,0,0,0,404,0.0,0.0
1160,Berke Özer,TUR,GK,Lille,Ligue 1,25,10.0,900,ND,ND,1,0,281,7,83.1,3.0,30.0,0,1,1,0,12.0,0,0,1,1,0.0,0.0,1.0,0,0,0,0,18,62.5,19.0,1,1,0,403,0.1,0.0
1161,Maduka Okoye,NGA,GK,Udinese,Serie A,25,5.0,450,1.97,93.0,0,0,140,3,68.9,1.0,20.0,0,0,0,0,8.0,0,0,0,0,0.0,3.0,0.0,0,0,0,0,9,76.2,13.0,0,0,0,211,0.0,0.0
1162,Jan Oblak,SVN,GK,Atlético Madrid,La Liga,32,12.0,1080,1.86,87.0,0,0,221,4,76.5,4.0,33.3,0,0,0,0,11.0,0,0,0,0,0.0,1.0,0.0,0,0,0,0,26,70.6,23.0,0,0,0,420,0.0,0.0
1163,Alexander Nübel,GER,GK,Stuttgart,Bundesliga,28,10.0,900,1.93,75.0,1,0,249,6,81.8,4.0,40.0,0,1,1,0,12.0,0,0,2,1,0.0,2.0,0.0,0,0,0,0,26,76.2,31.0,0,0,0,417,0.6,0.0
1164,Obed Nkambadio,FRA,GK,Paris FC,Ligue 1,22,10.0,900,ND,ND,0,0,230,7,80.2,1.0,10.0,0,1,0,0,19.0,0,0,1,0,0.0,2.0,1.0,0,0,0,0,26,57.5,20.0,0,0,0,455,0.0,0.0
1165,Moritz Nicolas,GER,GK,Gladbach,Bundesliga,27,10.0,900,1.9,88.0,0,0,210,5,78.8,3.0,30.0,0,0,0,0,19.0,0,0,1,0,0.0,2.0,0.0,1,0,0,0,16,67.9,34.0,1,1,1,347,0.1,0.0
1166,Manuel Neuer,GER,GK,Bayern Munich,Bundesliga,39,9.0,810,1.93,92.0,0,0,274,1,81.2,5.0,55.6,0,3,0,0,6.0,0,0,0,0,0.0,0.0,0.0,0,0,2,0,31,68.4,13.0,0,0,0,387,0.0,0.0
1167,Yvon Mvogo,SUI,GK,Lorient,Ligue 1,31,9.0,810,1.86,84.0,0,0,242,3,78.3,0.0,0.0,0,1,0,0,18.0,0,0,0,0,0.0,4.0,0.0,0,0,1,0,6,61.1,19.0,0,0,0,343,0.0,0.0
1168,Arijanet Muric,KVX,GK,Sassuolo,Serie A,26,10.0,900,1.98,80.0,0,0,239,6,66.0,4.0,40.0,0,0,0,0,10.0,0,0,0,0,0.0,1.0,0.0,0,0,0,0,12,80.0,36.0,0,0,0,403,0.0,0.0
1169,Lorenzo Montipò,ITA,GK,Hellas Verona,Serie A,29,11.0,990,1.91,84.0,0,0,186,0,50.5,3.0,27.3,0,1,0,0,16.0,0,0,1,0,0.0,0.0,1.0,0,0,0,0,13,62.8,27.0,0,0,0,350,0.0,0.0
