Rk,Player,Nation,Pos,Team,Comp,Age,90s,Min,Ht.,Wt.,Ast,Blocks,Carries,Clr,Cmp%,CS,CS%,Dis,Err,G+A,G-PK,GA,Gls,Int,KP,Mis,npxG,PKA,PKsv,PPA,PrgC,PrgP,PrgR,Recov,Save%,Saves,Tkl,Tkl+Int,TklW,Touches,xAG,xG
3987,Matteo Darmian,ITA,DF,Inter,Serie A,35,19.8,1781,1.82,70.0,2,23,593,39,83.8,,,6,0,5,3,,3,10,15,15,1.9,,,15,14,45,102,39,,,28,38,17,1144,1.5,1.9
3988,Juan David Cabal,COL,DF,Juventus,Serie A,24,5.1,460,1.86,79.0,0,7,242,14,87.7,,,4,1,0,0,,0,2,1,6,0.1,,,3,14,17,19,20,,,10,12,4,401,0.0,0.1
3989,Bobby De Cordova-Reid,JAM,FW,Leicester City,Premier League,32,8.3,744,1.7,66.0,2,15,174,10,70.4,,,10,0,3,1,,1,0,6,11,0.8,,,5,14,15,48,29,,,9,9,4,272,1.2,0.8
3990,Lorenzo De Silvestri,ITA,DF,Bologna,Serie A,37,11.8,1060,1.86,84.0,0,9,313,32,79.1,,,2,0,1,1,,1,10,5,7,0.8,,,6,4,46,30,26,,,11,21,6,657,0.3,0.8
3991,Koni De Winter,BEL,DF,Genoa,Serie A,23,23.7,2135,1.88,74.0,0,10,807,118,86.6,,,8,3,3,3,,3,25,3,17,2.1,,,3,10,56,10,114,,,33,58,19,1551,0.2,2.1
3992,Liam Delap,ENG,FW,Chelsea FC,Premier League,22,28.8,2593,1.86,83.0,2,16,445,28,61.3,,,60,0,14,10,,12,2,21,104,7.8,,,6,61,30,110,68,,,11,13,8,682,1.9,9.3
3993,Fisayo Dele-Bashiru,NGA,"MF,FW",SS Lazio,Serie A,24,10.5,947,ND,ND,1,7,257,5,87.7,,,17,0,4,3,,3,4,10,16,1.1,,,4,23,26,57,48,,,10,14,6,436,0.8,1.1
3994,Ousmane Dembélé,FRA,FW,Paris S-G,Ligue 1,28,19.2,1730,1.78,61.0,6,36,878,2,79.0,,,32,1,27,20,,21,9,63,41,15.8,,,55,127,137,252,39,,,11,20,5,1323,8.2,16.6
3995,Justin Devenny,NIR,MF,Crystal Palace,Premier League,21,5.6,507,ND,ND,1,2,134,11,72.2,,,3,0,2,1,,1,0,7,17,0.8,,,4,5,21,13,27,,,17,17,12,279,0.6,0.8
3996,Mamadou Diakhon,FRA,"FW,MF",Reims,Ligue 1,19,9.5,858,ND,ND,1,10,288,5,77.0,,,13,0,3,2,,2,4,13,29,1.0,,,6,61,17,77,38,,,12,16,8,379,1.1,1.0
3997,Assane Diao,SEN,"FW,MF",Como,Serie A,19,13.9,1252,ND,ND,1,22,376,19,79.3,,,38,0,9,8,,8,3,8,50,4.0,,,13,50,36,116,41,,,25,28,14,523,0.4,4.0
